,Sensor Ext 1,,,,,,Sensor Int 1,,,,,,Sensor Int 2,,,
Time,Temperature,Humidity,CO2,VOC,CO,Particulate,Temperature,Humidity,CO2,VOC,CO,Particulate,Temperature,Humidity,CO2,Printer Status
00:00:07,27.5,48.83,436,145,0.07,29,22.04,50.88,492,1,0.55,7,24.52,34.42,499,ERROR
00:01:07,22.89,41.84,585,136,2.76,17,22.78,42.32,387,233,4.26,14,21.66,32.09,416,PAUSED
00:02:07,20.82,53.45,404,306,1.56,20,23.71,39.42,571,316,4.27,50,24.58,47.48,501,ERROR
00:03:07,19.64,55.75,577,460,4.19,32,21.32,43.19,524,79,3.44,18,25.62,31.02,463,PRINTING
00:04:07,24.99,43.09,519,113,0.33,19,24.14,56.82,478,302,2.21,4,19.25,39.88,473,IDLE
00:05:07,21.87,40.57,436,387,2.53,37,21.9,52.87,399,375,4.55,13,20.78,36.96,487,PRINTING
00:06:07,21.59,37.58,553,459,3.76,16,26.75,43.12,585,437,2.27,13,25.09,39.38,460,ERROR
00:07:07,24.37,38.28,588,338,3.6,13,18.95,42.76,593,345,3.78,33,26.43,47.92,584,IDLE
00:08:07,22.99,31.09,599,359,1.68,37,27.55,47.16,467,442,3.93,50,26.81,53.02,388,PRINTING
00:09:07,27.85,45.71,514,426,2.67,24,24.89,33.19,590,301,3.37,23,25.91,51.32,436,PAUSED
00:10:07,25.18,55.95,521,310,2.99,26,21.78,34.52,520,115,0.87,5,18.73,46.94,532,ERROR
00:11:07,18.58,35.52,553,282,3.72,18,23.23,59.66,493,493,3.12,3,20.0,44.88,463,PAUSED
00:12:07,20.0,48.63,598,242,1.66,23,21.36,40.51,494,113,3.85,8,21.53,35.31,502,ERROR
00:13:07,23.4,40.64,529,82,1.81,7,18.07,58.06,515,239,3.64,24,25.55,48.13,597,PAUSED
00:14:07,19.18,33.97,414,6,1.36,9,22.37,41.13,594,475,2.12,37,24.78,30.09,421,PRINTING
00:15:07,22.57,36.63,458,151,1.61,40,23.69,45.11,559,449,0.3,3,25.22,34.62,530,PRINTING
00:16:07,18.48,38.2,589,201,3.05,20,26.26,42.1,456,191,3.99,28,27.11,57.62,524,PRINTING
00:17:07,21.21,36.01,490,61,1.87,31,21.19,52.99,476,275,4.26,24,21.58,31.05,495,IDLE
00:18:07,22.97,34.35,430,98,0.41,5,26.4,57.87,429,285,1.51,5,22.09,57.41,429,IDLE
00:19:07,18.72,37.54,480,269,2.67,9,26.18,40.21,547,92,0.07,23,22.59,55.3,386,PAUSED
00:20:07,24.11,56.11,527,466,2.77,39,19.48,50.2,584,345,4.26,45,22.95,55.77,598,IDLE
00:21:07,21.38,42.15,505,255,0.24,1,27.74,38.96,553,287,3.75,43,19.74,41.68,550,IDLE
00:22:07,22.93,43.95,542,204,1.92,19,26.64,54.49,422,95,0.23,23,26.49,54.92,381,PRINTING
00:23:07,21.47,34.24,393,107,0.68,19,25.49,40.45,464,466,2.2,24,22.21,35.31,394,IDLE
00:24:07,22.69,38.13,402,70,2.29,5,25.51,32.37,516,384,4.13,0,18.07,32.51,381,ERROR
00:25:07,24.45,46.31,522,342,2.5,29,26.63,47.73,410,480,0.15,43,24.62,52.89,515,ERROR
00:26:07,24.62,52.07,530,90,0.5,1,21.95,49.13,416,65,3.9,22,24.89,49.3,474,ERROR
00:27:07,,,,,,,21.65,46.33,387,464,4.71,7,25.6,46.79,560,PAUSED
00:28:07,22.4,58.15,486,44,3.19,39,22.36,33.11,478,21,0.62,28,27.5,53.81,525,IDLE
00:29:07,20.98,51.76,582,236,1.47,6,19.56,44.29,530,411,3.89,22,24.6,34.91,571,PRINTING
00:30:07,26.07,35.85,489,17,3.92,14,21.29,38.59,546,405,2.84,7,18.87,55.01,540,IDLE
00:31:07,24.38,33.6,535,497,2.55,8,18.31,50.51,403,145,4.3,38,,,,ERROR
00:32:07,19.18,45.43,408,286,1.84,17,24.89,57.23,465,304,3.96,2,21.97,32.49,458,PAUSED
00:33:07,18.02,41.99,403,477,2.2,32,,,,,,,24.39,48.04,424,PAUSED
00:34:07,27.39,47.98,528,302,2.32,3,22.2,44.99,399,346,3.51,1,20.88,49.8,520,PAUSED
00:35:07,24.31,37.01,546,182,2.1,20,21.68,32.21,458,158,0.17,4,27.62,56.13,464,ERROR
00:36:07,25.59,49.79,536,242,2.14,0,25.69,43.2,588,111,0.66,13,24.84,53.64,480,PAUSED
00:37:07,19.28,38.99,567,253,1.96,31,20.34,59.22,437,438,1.12,31,22.67,48.93,499,PAUSED
00:38:07,27.36,55.64,390,243,1.08,28,27.63,52.84,508,168,4.12,0,19.29,45.3,427,PRINTING
00:39:07,22.21,41.06,403,376,3.9,1,,,,,,,18.35,49.52,433,PAUSED
00:40:07,20.91,58.24,542,3,3.32,33,19.17,48.62,453,302,4.61,8,,,,IDLE
00:41:07,,,,,,,27.52,52.39,504,18,2.48,7,19.73,48.86,471,PAUSED
